Personal Data,,,,,,,,Endorsement Data,,,,,,,,,,Electoral Data,,,,Factchecking Columns,,
Candidate,Incumbent,Open Primary,State,Primary Date,Office,District,Gender,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sanders,AOC,Party Committee,Biden,Obama,Primary %,Primary Outcome,"Checked? (not H, I, T)",,Man vs. Woman?,"Checked? inc. H, I, T, W",Notes
Chris Coons,Yes,No,Delaware,9/15/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,UPDATED,,,,
Jess Scarane,No,No,Delaware,9/15/2020,Senator,N/A,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,lost,UPDATED,,,,
Lisa Blunt Rochester,Yes,No,Delaware,9/15/2020,Representative,At-Large,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,won,UPDATED,,,,
John Carney,Yes,No,Delaware,9/15/2020,Governor,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,UPDATED,,,,
David Lamar Williams Jr. ,No,No,Delaware,9/15/2020,Governor,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,UPDATED,,,,
Tom Alciere,No,No,New Hampshire,9/8/2020,Senator,N/A,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,UPDATED,,,,
Paul Krautmann,No,No,New Hampshire,9/8/2020,Senator,N/A,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,UPDATED,,,,
Jeanne Shaheen,Yes,No,New Hampshire,9/8/2020,Senator,N/A,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,won,UPDATED,,,,
Chris Pappas,Yes,No,New Hampshire,9/8/2020,Representative,1,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,UPDATED,,,,
Ann Kuster,Yes,No,New Hampshire,9/8/2020,Representative,2,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,won,UPDATED,,,,
Joseph Mirzoeff,No,No,New Hampshire,9/8/2020,Representative,2,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,UPDATED,,,,
Dan Feltes,No,Yes,New Hampshire,9/8/2020,Governor,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,UPDATED,,,,
Andru Volinsky,No,Yes,New Hampshire,9/8/2020,Governor,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,UPDATED,,,,
