,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Abortion,Abortion Notes,Abortion Canvasser,Abortion Date,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,FEC id,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,AFP,Party Committee,AIPAC,SBA,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
Barry Moore,Male,White,,,Pro-Life,,Meredith,2/19/24,Yes,Yes,Alabama,3/5/24,Representative,1,H8AL02171,53956,57.85%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Jerry Carl,Male,White,,,Pro-Life,"Doesn't have issues listed on his page, but in his ""about"" he has ""Jerry believes all human life should be protected from the moment of conception.""",Meredith,2/19/24,Yes,Yes,Alabama,3/5/24,Representative,1,H0AL01055,39312,42.15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Karla M. DuPriest,Female,Black,,,N/A,no website,Meredith,2/19/24,No,No,Alabama,3/5/24,Representative,2,,823,1.35%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Belinda Thomas,Female,Black,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/19/24,No,No,Alabama,3/5/24,Representative,2,,1082,1.77%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Dick Brewbaker,Male,White,,,Pro-Life,,Meredith,2/19/24,No,No,Alabama,3/5/24,Representative,2,,22589,37.04%,Made runoff,10471,41.59%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Greg Albritton,Male,White,,,No mention,No issue positions on site; no mention of abortion terms in bio,Meredith,2/19/24,No,No,Alabama,3/5/24,Representative,2,,14470,23.72%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Hampton S. Harris,Male,White,,,Pro-Life,,Meredith,2/19/24,No,No,Alabama,3/5/24,Representative,2,,1414,2.32%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Stacey T. Shepperson,Female,Black,,,N/A,no website,Meredith,2/19/24,No,No,Alabama,3/5/24,Representative,2,,4673,7.66%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Wallace Gilberry,Male,Black,,,N/A,no website,Meredith,2/19/24,No,No,Alabama,3/5/24,Representative,2,,838,1.37%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
