Personal Data,,,,,,,,Endorsement Data,,,Electoral Data,,,Factchecking Columns,,,
Candidate,Incumbent,Open Primary,State,Primary Date,Office,District,Gender,Trump,E-PAC,Winning for Women,Primary %,Primary Outcome,Chance of Winning (Nov 3),"Checked? (not H, J, K, L)",,Man vs. Woman?,"Checked? inc. H, J, K, P"
Jim DeMartino,No,Yes,Delaware,9/15/2020,Senator,N/A,Male,N/A,N/A,N/A,57,Lost,,UPDATED,,,
Lauren Witzke,No,Yes,Delaware,9/15/2020,Senator,N/A,Female,N/A,N/A,N/A,43,Won,,UPDATED,,,
Matthew Morris,No,Yes,Delaware,9/15/2020,Representative,At-Large,Male,N/A,N/A,N/A,26,Lost,,UPDATED,,,
Lee Murphy,No,Yes,Delaware,9/15/2020,Representative,At-Large,Male,N/A,N/A,N/A,74,Won,,UPDATED,,,
Colin Bonini,No,Yes,Delaware,9/15/2020,Governor,N/A,Male,N/A,N/A,N/A,35,Lost,,UPDATED,,,
Dave Bosco,No,Yes,Delaware,9/15/2020,Governor,N/A,Male,N/A,N/A,N/A,7,Lost,,UPDATED,,,
Dave Graham,No,Yes,Delaware,9/15/2020,Governor,N/A,Male,N/A,N/A,N/A,3,Lost,,UPDATED,,,
Julianne Murray,No,Yes,Delaware,9/15/2020,Governor,N/A,Female,N/A,N/A,N/A,41,Won,,UPDATED,,,
Bryant Richardson,No,Yes,Delaware,9/15/2020,Governor,N/A,Male,N/A,N/A,N/A,8,Lost,,UPDATED,,,
Scott Walker,No,Yes,Delaware,9/15/2020,Governor,N/A,Male,N/A,N/A,N/A,7,Lost,,UPDATED,,,
Gerard Beloin,No,Yes,New Hampshire,9/8/2020,Senator,N/A,Male,No,N/A,N/A,2,Lost,,UPDATED,,,
Don Bolduc,No,Yes,New Hampshire,9/8/2020,Senator,N/A,Male,No,N/A,N/A,43,Lost,,UPDATED,,,
Andy Martin,No,Yes,New Hampshire,9/8/2020,Senator,N/A,Male,No,N/A,N/A,4,Lost,,UPDATED,,,
Corky Messner,No,Yes,New Hampshire,9/8/2020,Senator,N/A,Male,Yes,N/A,N/A,51,Won,,UPDATED,,,
Michael Callis,No,Yes,New Hampshire,9/8/2020,Representative,1,Male,No,N/A,N/A,4,Lost,,UPDATED,,,
Jeff Denaro,No,Yes,New Hampshire,9/8/2020,Representative,1,Male,No,N/A,N/A,4,Lost,,UPDATED,,,
Matt Mayberry,No,Yes,New Hampshire,9/8/2020,Representative,1,Male,No,N/A,N/A,27,Lost,,UPDATED,,,
Matt Mowers,No,Yes,New Hampshire,9/8/2020,Representative,1,Male,Yes,N/A,N/A,60,Won,,UPDATED,,,
Kevin Rondeau,No,Yes,New Hampshire,9/8/2020,Representative,1,Male,No,N/A,N/A,6,Lost,,UPDATED,,,
Matthew Bjelobrk,No,Yes,New Hampshire,9/8/2020,Representative,2,Male,N/A,N/A,N/A,7,Lost,,UPDATED,,,
Lynne Blankenbeker,No,Yes,New Hampshire,9/8/2020,Representative,2,Female,N/A,N/A,N/A,39,Lost,,UPDATED,,,
Eli Clemmer,No,Yes,New Hampshire,9/8/2020,Representative,2,Male,N/A,N/A,N/A,6,Lost,,UPDATED,,,
Steve Negron,No,Yes,New Hampshire,9/8/2020,Representative,2,Male,N/A,N/A,N/A,48,Won,,UPDATED,,,
Nobody,No,No,New Hampshire,9/8/2020,Governor,N/A,Male,N/A,N/A,N/A,1,Lost,,UPDATED,,,
Chris Sununu,Yes,No,New Hampshire,9/8/2020,Governor,N/A,Male,N/A,N/A,N/A,90,Won,,UPDATED,,,
Karen Testerman,No,No,New Hampshire,9/8/2020,Governor,N/A,Female,N/A,N/A,N/A,9,Lost,,UPDATED,,,
Allen Waters,No,Yes,Rhode Island,9/8/2020,Senator,N/A,Male,N/A,N/A,N/A,100,Won,,UPDATED,,,
