,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,Endorsement Data,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Big Lie,Big Lie Date,Big Lie Recanvasser,Big Lie Notes,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
"Aditya ""A.D."" Atholi",Male,Asian (Indian),,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,1,"6,186",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joe McDaniel,Male,White,,,?,2/28/2023,Nathaniel,"""I’m concerned about election integrity and the security of these voting machines just like you. It’s recklessly naïve to wave such concerns off as ‘conspiracy.’""",No,No,Texas,3/1/2022,Representative,1,"19,708",24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nathaniel Moran,Male,White,,,?,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,1,"51,312",63%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Porro,Male,White,,,N/A,3/6/2023,Kaleigh,,No,No,Texas,3/1/2022,Representative,1,"4,238",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan Crenshaw,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"“It’s just something you have to accept,” Crenshaw said. “Is there a lot of voter fraud? Yeah, there probably is. Enough that Trump won? No, absolutely not. Absolutely not. Five different states? Hundreds of thousands of votes? You’re kidding yourself.”",Yes,No,Texas,3/1/2022,Representative,2,"45,863",74%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jameson Ellis,Male,White,,,Yes,,Maya,,No,Yes,Texas,3/1/2022,Representative,2,"10,195",17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Martin Etwop,Male,Black,,,?,2/28/2023,Nathaniel,"Supports ""audit""",No,Yes,Texas,3/1/2022,Representative,2,"2,785",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Milam Langella,Male,White,,,N/A,3/5/2023,Kaleigh,,No,Yes,Texas,3/1/2022,Representative,2,"2,741",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Suzanne Harp,Female,White,,,Yes,,Maya,,No,Yes,Texas,3/1/2022,Representative,3,"13,375",21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jeremy D. Ivanovskis,Male,White,,,Yes,2/28/2023,Nathaniel,,No,Yes,Texas,3/1/2022,Representative,3,818,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Keith Self,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),,No,Yes,Texas,3/1/2022,Representative,3,"17,058",26%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Van Taylor,Male,White,,,No,3/5/2023,Kaleigh,,Yes,No,Texas,3/1/2022,Representative,3,"31,489",49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Withdrew; runoff canceled
Rickey Williams,Male,White,,,N/A,,Maya,,No,Yes,Texas,3/1/2022,Representative,3,"1,731",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pat Fallon,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,4,"41,297",59%,Won,N/A,N/A,N/A,Yes,11/11/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John E. Harper,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,4,"7,576",11%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan Thomas,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,4,"21,168",30%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lance Gooden,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,5,"47,692",100%,Won,N/A,N/A,N/A,Yes,2/16/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James Buford,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,6,"8,636",16%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jake Ellzey,Male,White,,,?,12/1/2022,N/A (checked against interactive),,Yes,No,Texas,3/1/2022,Representative,6,"38,683",71%,Won,N/A,N/A,N/A,Yes,2/17/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bill Payne,Male,Unknown,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,6,"7,008",13%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rudy A. Atencio,Male,Latino (Venezuelan),,,Yes,2/28/2023,Nathaniel,,No,No,Texas,3/1/2022,Representative,7,"1,024",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tina Blum Cohen,Female,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,7,"1,792",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Benson Gitau,Male,Black,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,7,422,2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Laique Rehman,Male,Asian,,,?,3/5/2023,Kaleigh,,No,No,Texas,3/1/2022,Representative,7,977,5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
