,Personal Data,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,FEC id,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,WFP,CPC,Sunrise,Sanders,RFFA,AIPAC,DMFI,J Street,Party Committee,Notes
Tom Holmes,Male,White,,,No,No,Alabama,3/5/24,Representative,1,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Anthony Daniels,Male,Black,,,No,No,Alabama,3/5/24,Representative,2,,12879,22.39%,Made runoff,13944,38.83%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James Averhart,Male,Black,,,No,No,Alabama,3/5/24,Representative,2,,1623,2.82%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jeremy Gray,Male,Black,,,No,No,Alabama,3/5/24,Representative,2,,1580,2.75%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Juandalynn ""Le Le"" Givan",Female,Black,,,No,No,Alabama,3/5/24,Representative,2,,1261,2.19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Larry Darnell Simpson,Male,Unknown,,,No,No,Alabama,3/5/24,Representative,2,,247,0.43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Merika Coleman,Female,Black,,,No,No,Alabama,3/5/24,Representative,2,,3445,5.99%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Napoleon Bracy, Jr.",Male,Black,,,No,No,Alabama,3/5/24,Representative,2,,9010,15.66%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Phyllis Harvey-Hall,Female,Black,,,No,No,Alabama,3/5/24,Representative,2,,2007,3.49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Shomari Figures,Male,Black,,,No,No,Alabama,3/5/24,Representative,2,,24980,43.43%,Made runoff,21962,61.17%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Vimal Patel,Male,Asian,,,No,No,Alabama,3/5/24,Representative,2,,289,0.50%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Willie J. Lenard,Male,Black,,,No,No,Alabama,3/5/24,Representative,2,,199,0.35%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Elizabeth Anderson,Female,White,,,No,No,Alabama,3/5/24,Representative,6,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
